Instrument,Date,Price Open,Price High,Price Low,Price Close,Volume(1000shares),turnover(1000),sma5,sma10,sma20,k,d,bias5,bias10,bias20,rsi,w%r,mtm,macd,macd_signal,macdhist,ar,br,dmi,MV%,ROI%,Market Capital,P/E,P/B,Long PSTN VAL,Short PSTN VAL,Qfii Net S/B M.Cap,Fund Net S/B M.Cap,Dealer Net S/B M.Cap,Liabilities Ratio,ROA-Comprehensive Income,ROE-Comprehensive Income,Net Income Ratio,Return on Total Assets Growth Rate - YOY,Recurring EPS,P/E Ratio at Quarter-End,Cash Dividend Yield,Dividend Yield,Current Ratio,Acid-Test Ratio,Equity Turnover,Inventory Turnover
1734.TW,2010/1/4,21.6622 ,21.7667 ,21.1398 ,21.2095 ,1520.0000 ,46487.0000 ,21.5229 ,21.5508 ,21.8050 ,31.1359 ,40.3127 ,-1.4562 ,-1.5837 ,-2.7312 ,48.4473 ,-95.8306 ,-0.3831 ,0.2215 ,0.3295 ,-0.1080 ,115.5809 ,187.8670 ,2.2929 ,2.9032 ,-1.7742 ,0.0170 ,41.2000 ,1.9600 ,402973.7400 ,2995.8600 ,-0.2400 ,0.0000 ,0.3000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/5,21.2791 ,21.4533 ,20.9309 ,20.9309 ,1366.0000 ,41479.0000 ,21.4115 ,21.4707 ,21.7911 ,15.2646 ,31.1617 ,-2.2445 ,-2.5141 ,-3.9475 ,44.1591 ,-100.0000 ,-0.5572 ,0.1567 ,0.2949 ,-0.1383 ,119.8224 ,188.4446 ,10.8805 ,2.4631 ,-1.3136 ,0.0170 ,40.6600 ,1.9400 ,394558.5600 ,1426.9200 ,0.0000 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/6,21.1050 ,21.2095 ,20.9309 ,20.9309 ,985.0000 ,29750.0000 ,21.2652 ,21.3941 ,21.7458 ,2.5658 ,16.3221 ,-1.5721 ,-2.1649 ,-3.7475 ,44.1591 ,-100.0000 ,-0.5572 ,0.1041 ,0.2568 ,-0.1527 ,115.0858 ,198.8050 ,10.8805 ,1.3311 ,0.0000 ,0.0170 ,40.6600 ,1.9400 ,389149.1000 ,1418.9300 ,0.0000 ,0.0000 ,0.0900 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/7,21.2095 ,21.2095 ,20.6871 ,20.7916 ,1011.0000 ,30353.0000 ,21.0911 ,21.3349 ,21.6535 ,2.7782 ,6.8696 ,-1.4200 ,-2.5464 ,-3.9806 ,42.0033 ,-93.1806 ,-0.8706 ,0.0506 ,0.2155 ,-0.1649 ,100.4045 ,205.5566 ,15.2023 ,2.4958 ,-0.6656 ,0.0170 ,40.3900 ,1.9200 ,380256.7100 ,1260.4200 ,0.3900 ,0.0000 ,0.0900 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/8,20.9657 ,21.5229 ,20.6523 ,21.2443 ,2344.0000 ,71267.0000 ,21.0214 ,21.3000 ,21.6187 ,20.4858 ,8.6099 ,1.0602 ,-0.2617 ,-1.7319 ,50.4667 ,-60.4674 ,-0.4179 ,0.0442 ,0.1813 ,-0.1371 ,104.0004 ,184.9179 ,3.0896 ,4.1876 ,2.1776 ,0.0170 ,40.8000 ,1.9400 ,388171.4700 ,1489.1100 ,0.1200 ,0.0000 ,0.3700 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/11,21.4533 ,21.4533 ,21.1398 ,21.2443 ,1021.0000 ,31214.0000 ,21.0284 ,21.2757 ,21.5386 ,43.1522 ,22.1387 ,1.0267 ,-0.1474 ,-1.3664 ,50.4667 ,-57.5018 ,-0.3483 ,0.0387 ,0.1528 ,-0.1141 ,98.8268 ,184.3568 ,3.0896 ,1.4754 ,0.0000 ,0.0170 ,40.8000 ,1.9400 ,393881.1500 ,1344.2000 ,0.0000 ,0.0000 ,-0.0300 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/12,21.3140 ,21.5578 ,21.1050 ,21.1398 ,1145.0000 ,35022.0000 ,21.0702 ,21.2408 ,21.4724 ,58.3198 ,40.6526 ,0.3304 ,-0.4756 ,-1.5491 ,48.5692 ,-65.0036 ,-0.0697 ,0.0256 ,0.1273 ,-0.1017 ,96.9446 ,188.2676 ,0.9383 ,2.1311 ,-0.4918 ,0.0170 ,40.6000 ,1.9300 ,397998.7000 ,1253.7800 ,-5.8300 ,-0.0300 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/13,21.2443 ,21.2443 ,20.9309 ,20.9657 ,654.0000 ,19803.0000 ,21.0771 ,21.1712 ,21.4185 ,52.1492 ,51.2070 ,-0.5287 ,-0.9706 ,-2.1139 ,45.4998 ,-77.5018 ,0.0348 ,0.0012 ,0.1021 ,-0.1009 ,80.0723 ,241.2594 ,5.6741 ,1.4827 ,-0.8237 ,0.0170 ,40.2600 ,1.9200 ,392411.6800 ,1028.8400 ,0.0300 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/14,20.9657 ,21.1050 ,20.8612 ,20.9309 ,908.0000 ,27287.0000 ,21.1050 ,21.0981 ,21.3680 ,39.7386 ,50.0692 ,-0.8249 ,-0.7923 ,-2.0454 ,44.8892 ,-80.0000 ,0.0000 ,-0.0208 ,0.0775 ,-0.0983 ,87.1974 ,249.2522 ,6.9857 ,1.1628 ,-0.1661 ,0.0170 ,40.2000 ,1.9100 ,387717.3300 ,1021.0200 ,0.0000 ,0.0000 ,0.1500 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/15,21.1050 ,21.1050 ,20.8264 ,20.8612 ,1084.0000 ,32554.0000 ,21.0284 ,21.0249 ,21.3140 ,23.3787 ,38.4222 ,-0.7950 ,-0.7786 ,-2.1243 ,43.6262 ,-85.0036 ,0.0696 ,-0.0433 ,0.0534 ,-0.0966 ,71.7729 ,305.7154 ,9.6943 ,1.3311 ,-0.3328 ,0.0170 ,40.0600 ,1.9100 ,381073.8800 ,960.6400 ,0.0000 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
