Instrument,Date,Price Open,Price High,Price Low,Price Close,Volume(1000shares),turnover(1000),sma5,sma10,sma20,k,d,bias5,bias10,bias20,rsi,w%r,mtm,macd,macd_signal,macdhist,ar,br,dmi,MV%,ROI%,Market Capital,P/E,P/B,Long PSTN VAL,Short PSTN VAL,Qfii Net S/B M.Cap,Fund Net S/B M.Cap,Dealer Net S/B M.Cap,Quarter,Liabilities Ratio,ROA-Comprehensive Income,ROE-Comprehensive Income,Net Income Ratio,Return on Total Assets Growth Rate - YOY,Recurring EPS,P/E Ratio at Quarter-End,Cash Dividend Yield,Dividend Yield,Capital Adequacy Ratio,Loans to Deposit Ratio,Liquidity Ratio,Leverage ratio
2886.TW,40182.00 ,8.62 ,8.67 ,8.57 ,8.62 ,18557.00 ,345562.00 ,8.59 ,8.50 ,8.46 ,78.34 ,81.15 ,0.38 ,1.42 ,1.95 ,53.30 ,-9.08 ,0.16 ,-0.03 ,-0.08 ,0.05 ,93.34 ,117.50 ,14.72 ,1.08 ,0.54 ,0.97 ,13.36 ,1.07 ,1924395.62 ,51223.62 ,48.51 ,8.18 ,-20.78 ,1.00 ,91.90 ,0.29 ,3.68 ,40.08 ,0.01 ,1.33 ,13.85 ,5.43 ,5.43 ,122.49 ,82.01 ,27.84 ,7.24 
2886.TW,40183.00 ,8.67 ,8.76 ,8.64 ,8.71 ,22437.00 ,421015.00 ,8.62 ,8.54 ,8.46 ,72.28 ,76.06 ,1.13 ,2.04 ,2.96 ,57.30 ,-7.68 ,0.23 ,-0.01 ,-0.06 ,0.05 ,108.64 ,103.61 ,1.68 ,1.34 ,1.08 ,0.98 ,13.50 ,1.09 ,1923312.72 ,52340.40 ,35.16 ,24.80 ,-18.03 ,1.00 ,92.90 ,0.29 ,3.68 ,40.08 ,0.01 ,1.33 ,13.85 ,5.43 ,5.43 ,122.49 ,82.01 ,27.84 ,7.24 
2886.TW,40184.00 ,8.71 ,8.85 ,8.64 ,8.81 ,29913.00 ,564619.00 ,8.67 ,8.58 ,8.48 ,81.18 ,77.27 ,1.60 ,2.62 ,3.90 ,60.91 ,-6.66 ,0.23 ,0.01 ,-0.05 ,0.06 ,105.94 ,94.37 ,9.40 ,2.39 ,1.06 ,0.98 ,13.65 ,1.10 ,1982010.45 ,53873.85 ,20.12 ,0.00 ,17.08 ,1.00 ,93.90 ,0.29 ,3.68 ,40.08 ,0.01 ,1.33 ,13.85 ,5.43 ,5.43 ,122.49 ,82.01 ,27.84 ,7.24 
2886.TW,40185.00 ,8.81 ,8.88 ,8.71 ,8.71 ,25611.00 ,485225.00 ,8.69 ,8.61 ,8.49 ,71.56 ,75.01 ,0.32 ,1.18 ,2.63 ,55.83 ,-22.58 ,0.16 ,0.02 ,-0.04 ,0.05 ,85.22 ,126.37 ,2.09 ,1.84 ,-1.05 ,0.98 ,13.50 ,1.09 ,1934074.90 ,54064.35 ,98.15 ,-9.29 ,14.38 ,1.00 ,94.90 ,0.29 ,3.68 ,40.08 ,0.01 ,1.33 ,13.85 ,5.43 ,5.43 ,122.49 ,82.01 ,27.84 ,7.24 
2886.TW,40186.00 ,8.71 ,8.88 ,8.67 ,8.78 ,23920.00 ,453599.00 ,8.73 ,8.64 ,8.51 ,67.36 ,73.37 ,0.64 ,1.61 ,3.23 ,58.62 ,-16.00 ,0.16 ,0.03 ,-0.02 ,0.05 ,101.22 ,114.46 ,2.09 ,2.39 ,0.80 ,0.98 ,13.61 ,1.09 ,1893762.72 ,54225.60 ,86.01 ,2.41 ,8.26 ,1.00 ,95.90 ,0.29 ,3.68 ,40.08 ,0.01 ,1.33 ,13.85 ,5.43 ,5.43 ,122.49 ,82.01 ,27.84 ,7.24 
2886.TW,40189.00 ,8.78 ,8.83 ,8.76 ,8.78 ,20969.00 ,397908.00 ,8.76 ,8.67 ,8.52 ,58.47 ,65.80 ,0.26 ,1.26 ,3.05 ,58.62 ,-18.18 ,0.21 ,0.04 ,-0.01 ,0.05 ,116.65 ,107.99 ,2.09 ,0.79 ,0.00 ,0.98 ,13.61 ,1.09 ,1880671.26 ,53865.24 ,15.63 ,-13.00 ,-6.77 ,1.00 ,96.90 ,0.29 ,3.68 ,40.08 ,0.01 ,1.33 ,13.85 ,5.43 ,5.43 ,122.49 ,82.01 ,27.84 ,7.24 
2886.TW,40190.00 ,8.83 ,8.85 ,8.69 ,8.74 ,16662.00 ,314644.00 ,8.76 ,8.69 ,8.54 ,56.41 ,60.75 ,-0.32 ,0.53 ,2.32 ,55.89 ,-27.29 ,0.12 ,0.04 ,0.00 ,0.04 ,115.26 ,103.94 ,8.13 ,1.85 ,-0.53 ,0.98 ,13.54 ,1.09 ,1855224.32 ,53959.04 ,-9.82 ,-0.41 ,6.31 ,1.00 ,97.90 ,0.29 ,3.68 ,40.08 ,0.01 ,1.33 ,13.85 ,5.43 ,5.43 ,122.49 ,82.01 ,27.84 ,7.24 
2886.TW,40191.00 ,8.67 ,8.69 ,8.55 ,8.57 ,28750.00 ,533029.00 ,8.72 ,8.69 ,8.55 ,35.72 ,50.20 ,-1.65 ,-1.36 ,0.31 ,47.54 ,-65.01 ,-0.14 ,0.03 ,0.01 ,0.03 ,101.30 ,109.58 ,25.43 ,1.59 ,-1.86 ,0.97 ,13.29 ,1.07 ,1843246.80 ,53969.94 ,-209.09 ,-3.11 ,11.21 ,1.00 ,98.90 ,0.29 ,3.68 ,40.08 ,0.01 ,1.33 ,13.85 ,5.43 ,5.43 ,122.49 ,82.01 ,27.84 ,7.24 
2886.TW,40192.00 ,8.57 ,8.67 ,8.57 ,8.60 ,13929.00 ,259128.00 ,8.69 ,8.69 ,8.56 ,20.48 ,37.54 ,-1.12 ,-1.07 ,0.38 ,48.72 ,-63.16 ,-0.21 ,0.03 ,0.01 ,0.01 ,111.09 ,114.07 ,25.43 ,1.08 ,0.27 ,0.96 ,13.32 ,1.07 ,1833085.80 ,52749.60 ,28.60 ,-0.26 ,4.14 ,1.00 ,99.90 ,0.29 ,3.68 ,40.08 ,0.01 ,1.33 ,13.85 ,5.43 ,5.43 ,122.49 ,82.01 ,27.84 ,7.24 
2886.TW,40193.00 ,8.62 ,8.69 ,8.57 ,8.62 ,20471.00 ,380644.00 ,8.66 ,8.69 ,8.58 ,14.85 ,23.68 ,-0.48 ,-0.85 ,0.43 ,49.94 ,-64.70 ,-0.09 ,0.02 ,0.01 ,0.01 ,112.65 ,109.71 ,21.63 ,1.35 ,0.27 ,0.96 ,13.36 ,1.07 ,1841990.15 ,52591.11 ,29.61 ,-33.54 ,1.60 ,1.00 ,100.90 ,0.29 ,3.68 ,40.08 ,0.01 ,1.33 ,13.85 ,5.43 ,5.43 ,122.49 ,82.01 ,27.84 ,7.24 
